ID;sp;porcion; d15N ;d13C;sexo;id
15;P. papua;1;7,059593;-23,69528;m;1
15;P. papua;2;7,266696;-24,07696;m;1
15;P. papua;3;6,973504;-23,96899;m;1
15;P. papua;4;7,206352;-24,42649;m;1
15;P. papua;5;7,414;-24,36517;m;1
15;P. papua;6;7,60552;-24,40605;m;1
16;P. papua;1;6,897904;-23,67503;h;2
16;P. papua;2;7,042048;-23,9943;h;2
16;P. papua;3;6,86464;-24,31552;h;2
16;P. papua;4;7,022896;-24,73311;h;2
16;P. papua;5;7,074304;-24,00501;h;2
17;P. papua;1;7,465408;-24,18119;m;3
17;P. papua;2;8,01376;-24,54427;m;3
17;P. papua;3;7,339408;-24,20164;m;3
17;P. papua;4;7,94824;-24,40897;m;3
17;P. papua;5;8,364544;-23,90183;m;3
18;P. papua;1;7,143856;-24,1189;m;4
18;P. papua;2;6,812224;-24,00306;m;4
18;P. papua;3;7,039024;-24,37198;m;4
18;P. papua;4;7,408058;-24,6849;m;4
18;P. papua;5;7,507822;-24,69561;m;4
19;P. papua;1;6,958102;-24,829;h;5
19;P. papua;2;7,098586;-24,79395;h;5
19;P. papua;3;7,514948;-24,57586;h;5
19;P. papua;4;7,9364;-24,28767;h;5
19;P. papua;5;9,03584;-23,98294;h;5
20;P. papua;1;7,2747;-23,51074;h;6
20;P. papua;2;7,619802;-23,72493;h;6
20;P. papua;3;7,35614;-23,65191;h;6
20;P. papua;4;7,747052;-24,18739;h;6
20;P. papua;5;8,118622;-23,84663;h;6
20;P. papua;6;7,906878;-23,90894;h;6
21;P. papua;1;7,098586;-23,50782;m;7
21;P. papua;2;7,227872;-23,93426;m;7
21;P. papua;3;7,390752;-24,07932;m;7
21;P. papua;4;7,399914;-24,11535;m;7
21;P. papua;5;7,242124;-23,77751;m;7
22;P. papua;1;6,80133;-24,56515;h;8
22;P. papua;2;6,73007;-24,59338;h;8
22;P. papua;3;6,75043;-24,5856;h;8
22;P. papua;4;7,23907;-24,59533;h;8
22;P. papua;5;6,65372;-24,3938;h;8
23;P. papua;1;6,559046;-24,16013;h;9
23;P. papua;2;6,418562;-24,38114;h;9
23;P. papua;3;6,611982;-24,53789;h;9
23;P. papua;4;6,662882;-24,51647;h;9
23;P. papua;5;6,655756;-24,54568;h;9
24;P. papua;1;6,884806;-24,1504;m;10
24;P. papua;2;6,741268;-24,26528;m;10
24;P. papua;3;6,588568;-23,99949;m;10
24;P. papua;4;7,017146;-24,31591;m;10
24;P. papua;5;7,097568;-24,34122;m;10
25;P. papua;1;6,936724;-23,93328;m;11
25;P. papua;2;6,95912;-23,91089;m;11
25;P. papua;3;7,424346;-24,39964;m;11
25;P. papua;4;8,013768;-24,51258;m;11
25;P. papua;5;7,906878;-24,10658;m;11
26;P. papua;1;6,647612;-24,48824;m;12
26;P. papua;2;7,460994;-24,70827;m;12
26;P. papua;3;7,21362;-24,76376;m;12
26;P. papua;4;7,382608;-24,52036;m;12
26;P. papua;5;7,536326;-24,34998;m;12
27;P. papua;1;7,322546;-23,89337;NA;13
27;P. papua;2;7,220746;-23,85734;NA;13
27;P. papua;3;6,84205;-24,13385;NA;13
27;P. papua;4;6,950976;-24,202;NA;13
27;P. papua;5;7,180026;-23,73272;NA;13
27;P. papua;6;7,285898;-24,22536;NA;13
28;P. papua;1;6,505092;-24,12411;h;14
28;P. papua;2;6,8166;-24,14066;h;14
28;P. papua;3;6,810492;-24,15721;h;14
28;P. papua;4;6,921454;-24,26139;h;14
28;P. papua;5;7,321528;-24,64304;h;14
29;P. papua;1;6,795222;-24,28865;h;15
29;P. papua;2;6,817618;-24,10172;h;15
29;P. papua;3;7,092478;-24,20394;h;15
29;P. papua;4;6,901094;-23,89726;h;15
29;P. papua;5;7,164756;-24,22731;h;15
29;P. papua;6;7,455904;-24,28378;h;15
30;P. papua;1;7,699206;-25,30703;h;16
30;P. papua;2;7,801006;-25,20091;h;16
30;P. papua;3;8,132874;-24,42398;h;16
30;P. papua;4;7,84478;-24,64791;h;16
30;P. papua;5;8,248926;-24,43956;h;16
36;P. papua;1;8,133892;-24,49895;m;17
36;P. papua;2;8,069758;-24,63233;m;17
36;P. papua;3;8,300844;-24,38309;m;17
36;P. papua;4;8,443364;-23,96249;m;17
36;P. papua;5;7,709386;-23,21185;m;17
36;P. papua;6;8,312042;-23,30142;m;17
